Genre,Video title,Video publish time,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
travel,Tirupati to Srikalahasti | DAY 5&6 | Tirumala Darshanam Correct Sequence | Telugu vlog |  vloGO Vk,8-Nov-22,170,5.8646,0,0:02:04,1740,7.59
travel,Tirumala Trip in Sequence | DAY 2 | Tiruchaanoor - Kapila theertham  Telugu vlog |  vloGO Vk,16-Oct-22,115,8.3785,2,0:04:22,1013,8.49
travel,Tirumala Trip in Sequence  | DAY 1 | Telugu vlog  | Train Journey  |  VamshiVk,9-Oct-22,82,2.242,0,0:01:38,1106,5.15
travel,Tirumala Trip in Sequence | DAY 3 | ALIPIRI METTU TREK |  Telugu vlog |  vloGO Vk | Vamshi Vk,25-Oct-22,60,5.963,0,0:05:57,665,5.26
travel,Dakshin Express General coach experience  | Secunderabad to Nagpur,25-Aug-22,34,0.8198,0,0:01:26,274,10.95
travel,Tirumala Trip in Sequence | DAY 4 | BRAHMOSTAVALU | sight seeing places Telugu vlog |  vloGO Vk,1-Nov-22,30,2.3978,0,0:04:47,247,5.67
travel,SUNRISE at koheda gutta | The hidden gem of hyderabad | Telugu Motovlog | Vamshivk,11-Apr-22,22,0.6435,0,0:01:45,153,9.15
film,Nirvana | Episode - 1 | New Telugu Series 2023 | with English Subtitles | Vamshi Vk,30-Apr-23,14,0.2204,0,0:00:56,306,3.27
film,Nirvana | Episode - 3 | New Telugu Series 2023 |Vamshi Vk,15-May-23,6,0.2226,1,0:02:13,196,2.55
film,Nirvana | Episode - 2 | New Telugu Series 2023  | Vamshi Vk,7-May-23,5,0.0246,0,0:00:17,143,0.7
travel,MAHULI FORT | an adventurous trek experience  | vloGO vk | vamshi vk,23-Nov-22,4,0.3872,0,0:05:48,64,3.13
film,Nirvana | New Telugu Series 2023 | TRAILER | Vamshi Vk,20-Apr-23,4,0.0235,0,0:00:21,130,2.31
film,Nirvana | New Telugu Short film 2023 | Vamshi Vk,21-May-23,4,0.0245,0,0:00:22,166,1.2
travel,Come lets go to a 2200 year old ancient temple | Gudimallam | Telugu vlog | vloGO Vk | VamshiVk,15-Nov-22,2,0.0069,0,0:00:12,65,3.08
travel,Ala  NALLAMALA  Adavullo | Nallamala forest telugu vlog | vloGO Vk  | vamshiVk,27-Aug-22,1,0.005,0,0:00:18,36,2.78
film,"To BE or Not To BE | Short film | no dialogue, single character film | VamshiVk",19-Jul-22,1,0.0039,0,0:00:13,54,1.85
travel,An ADVENTUROUS TREK to PALAKONDALU | waterfalls | kadapa | vamshivk,6-Aug-22,1,0.0002,,0:00:00,44,0
travel,MEDAK CHURCH ki velthey... | Telugu MotoVlogs | vloGO Vk | VamshiVk,1-Oct-22,1,0.106,0,0:06:21,66,1.52
bike service,CLARIFICATION on DIO Mileage test videos | DIO BS6 MILEAGE TEST | vloGO Vk | VAMSHI VK,14-Sep-22,,,,,42,0
travel,In search of waterfalls | Palakonda Adventurous trek | part II | KADAPA | vamshivk,15-Aug-22,,,,,38,0
travel,How many of you had this childhood ?  | after 17 years going to my pre KG school | vloGO Vk,5-Sep-22,,,,,42,0
comedy,GUESS THE CHIP Challenge | vamshivk,24-Jul-22,,,,,29,0
